Company_Name,Skill_1,Skill_2,Skill_3,Domain,Location,Minimum_CGPA,Duration,Recommended_Degree
KPIT Infosystems Limited.,"Bash, Deep Learning","OpenCV, PyTorch","Network Security, Linux",Database Administration,Pune,8.8,12 Months,B.Tech Computer Science
KPIT Technologies,"Node.js, TensorFlow","Kubernetes, Network Security","Data Analysis, Network Security",Software Engineering,London,7.4,12 Months,B.Tech Computer Science
KPMG India,"NLP, Linux","Kubernetes, GCP","Linux, DevOps",Mobile App Development,London,9,12 Months,B.Sc / M.Sc Data Science
Krupp Industries India Ltd.,"PyTorch, Network Security","Docker, Azure","Azure, Data Analysis",Software Engineering,Pune,8.2,9 Months,B.E. Information Technology
Kurade I - Net Pvt.Ltd,"TensorFlow, Librosa","PowerBI, TensorFlow","Azure, Data Analysis",Cloud Computing,New Delhi,9.5,9 Months,B.E. Information Technology
Labh Software Pvt Ltd,Web Development,"Node.js, C++","JavaScript, Bash",DevOps,Mumbai,7,2 Months,Mechanical Engineering
Lambent Technologies Pvt Ltd,"SQL, Ethical Hacking","AWS, TensorFlow","DevOps, Python",Data Science & AI,Nagpur,8.5,2 Months,B.Sc Statistics / Math
Lanco Global Systems Limited,Web Development,"Deep Learning, AWS","Data Analysis, PowerBI",Database Administration,Hyderabad,9.1,2 Months,B.E. Information Technology
Landmark Infotech Systems & Solutions Pvt Ltd,"Computer Vision, PowerBI","Digital Forensics, AWS",Kubernetes,Cybersecurity & Forensics,Chennai,7.1,4 Months,B.E. Information Technology
Larsen & Toubro Infotech Limited,Web Development,"PowerBI, Data Analysis","SQL, AWS",Mobile App Development,Mumbai,9,12 Months,B.E. Cloud Computing
Laser Soft Infosystems Ltd,"Bash, Pandas","Node.js, Kubernetes","Cybersecurity, Azure",Web Development,Chennai,8.5,12 Months,B.Tech CS / M.Tech
Lateral Software Technology Pvt Ltd,"Digital Forensics, Data Analysis","C++, SQL","Python, React",Software Engineering,Chennai,8.7,2 Months,B.Tech CS / IT
Lawkim Ltd (ITES Division),"Ethical Hacking, Mobile Forensics","Java, Deep Learning","Digital Forensics, Scikit-learn",Cybersecurity & Forensics,Mumbai,7.7,3 Months,B.Tech CS / IT
Lee & Nee Softwares (Exports) Ltd.,"SQL, Librosa","Linux, Pandas",Data Analysis,DevOps,Kolkata,6.9,6 Months,BCA / MCA
Lenovo,"Computer Vision, SQL","Network Security, Azure",JavaScript,DevOps,Bangalore,6.7,3 Months,B.Tech CS / IT
Leo Infotech (P) Ltd.,"C++, NoSQL","PyTorch, Mobile Forensics","GCP, NLP",Data Science & AI,Bangalore,8.8,3 Months,B.Tech CS / M.Tech
LG,"PowerBI, Incident Response","Cybersecurity, AWS",Computer Vision,Mobile App Development,San Francisco,8.9,4 Months,BCA / MCA
LG Soft India Pvt. Ltd.,"PowerBI, Scikit-learn","Librosa, NoSQL","Bash, Scikit-learn",Mobile App Development,Bangalore,8.2,12 Months,Mechanical Engineering
Linc Software Services Pvt. Ltd.,"C++, Azure","Java, Machine Learning","Kubernetes, Digital Forensics",Cloud Computing,Bangalore,6.9,4 Months,Mechanical Engineering
Lipi Infosoft Limited,"Incident Response, TensorFlow","Network Security, Azure","Cybersecurity, Azure",Database Administration,Mumbai,6.7,6 Months,B.Tech CS / IT
Live Tech Solutions (P) Ltd,"SQL, PowerBI","Librosa, Ethical Hacking","NoSQL, Data Analysis",Cloud Computing,Hyderabad,7.6,9 Months,B.E. Cloud Computing
Logica Pvt Ltd,"C++, Docker","Bash, Kubernetes","Node.js, React",Mobile App Development,Bangalore,7.4,3 Months,B.Tech CS / IT
Logicsoft International Pvt Ltd.,"Librosa, Digital Forensics","Scikit-learn, Computer Vision","Pandas, C++",Software Engineering,New Delhi,8.9,2 Months,B.Tech CS / IT
Login Infotech Private,"AWS, Digital Forensics","GCP, Kubernetes","Ethical Hacking, Linux",Database Administration,Delhi,8.4,3 Months,B.Tech CS / IT
LTIMindtree,"JavaScript, DevOps","Data Analysis, DevOps","React, AWS",Web Development,Chennai,9.1,9 Months,B.Tech Cybersecurity
Lucent Technologies India (P) Ltd.,"Machine Learning, Ethical Hacking","DevOps, Kubernetes","PowerBI, Java",Mobile App Development,Bangalore,6.5,6 Months,B.Sc / M.Sc Data Science
Lucid Technologies Pvt. Ltd,"PowerBI, Ethical Hacking","Docker, Mobile Forensics","TensorFlow, React",Web Development,Coimbatore,6.4,2 Months,B.Tech CS / IT
"MA Softech International Ltd, Bhopal","Azure, Pandas","Kubernetes, Cybersecurity","Machine Learning, PyTorch",Web Development,Bangalore,7.7,3 Months,B.Tech Computer Science
Macil Infosystems (Pvt) Ltd,"GCP, Ethical Hacking","Machine Learning, Azure","PowerBI, NoSQL",Cloud Computing,Mumbai,8.6,9 Months,B.Tech CS / IT
Madhu Intra Ltd,"DevOps, AWS","Librosa, Scikit-learn","TensorFlow, Pandas",Cybersecurity & Forensics,Kolkata,6.1,6 Months,BCA / MCA
"Madhya Pradesh Agency for Promotion of Information Technology, Bhopal","Docker, AWS","PowerBI, TensorFlow","Data Analysis, Machine Learning",Database Administration,Mumbai,6.6,3 Months,B.Sc Information Security
"Madhya Pradesh State Electronics Development Corporation Ltd., Bhopal","GCP, React","Deep Learning, NoSQL","Docker, C++",Software Engineering,Kolkata,8.7,3 Months,B.Tech CS / IT
Magic Software Pvt. Ltd.,"Data Analysis, TensorFlow","Kubernetes, Computer Vision","Scikit-learn, Mobile Forensics",Cybersecurity & Forensics,New Delhi,7.1,9 Months,B.E. Cloud Computing
Maharashtra Industrial Development Corporation,"Scikit-learn, Cybersecurity","SQL, Machine Learning","Librosa, SQL",Software Engineering,Mumbai,8.9,12 Months,Mechanical Engineering
Maharashtra Institute of Advance Electronics & Comp Tech (P) Ltd.,Web Development,"Pandas, PowerBI","Librosa, PowerBI",Software Engineering,Mumbai,6.9,3 Months,BCA / MCA
Mahindra British Telecom Ltd.,"GCP, JavaScript","Node.js, Azure","C++, Azure",Mobile App Development,Pune,6.8,3 Months,B.E. Information Technology
Mahindra Consulting Ltd.,Web Development,"Kubernetes, Node.js","Incident Response, C++",DevOps,Mumbai,6.7,12 Months,BCA / MCA
Majoris Systems Pvt. Ltd.,"Python, Docker","Cybersecurity, PowerBI","NoSQL, React",Mobile App Development,Bangalore,6.4,12 Months,B.E. Information Technology
Manjushree Infotech (IT - Divi. Of Manjushree Plantation),"DevOps, Computer Vision","Node.js, Python","DevOps, Python",Cybersecurity & Forensics,Kolkata,9.1,6 Months,BCA / MCA
Marble Infotech Ltd.,Web Development,"React, Ethical Hacking","NLP, Incident Response",Cloud Computing,New Delhi,9.1,9 Months,B.E. Information Technology
MASCON Global Limited,"C++, Docker","Azure, Java","PowerBI, NoSQL",Software Engineering,Chennai,7.6,6 Months,M.Sc Cyber Forensics
Mascot Systems Ltd.,"Linux, DevOps","OpenCV, Ethical Hacking","Ethical Hacking, PowerBI",Cybersecurity & Forensics,Bangalore,7.9,9 Months,B.Sc Statistics / Math
"Masibus Process Instruments (P). Ltd., Gandhinagar","DevOps, AWS","Cybersecurity, Data Analysis","Kubernetes, Docker",Cybersecurity & Forensics,Chennai,6.7,12 Months,B.E. Cloud Computing
Mastek Limited,"Azure, Kubernetes","Cybersecurity, NLP","Network Security, Mobile Forensics",Database Administration,San Francisco,8.1,4 Months,BCA / MCA
MASTEK Ltd.,"Machine Learning, GCP","Azure, Incident Response","Mobile Forensics, Kubernetes",Software Engineering,Mumbai,8.9,12 Months,B.E. Cloud Computing
Max Ateev Limited,"JavaScript, Mobile Forensics","C++, Machine Learning",Pandas,Database Administration,New Delhi,7.3,6 Months,B.Tech Computer Science
McKinsey & Company Inc.,"Network Security, Mobile Forensics","DevOps, Java","JavaScript, Node.js",Data Science & AI,Mumbai,6.4,4 Months,B.E. Cloud Computing
"MECON Limited, Ranchi","Cybersecurity, DevOps","Pandas, AWS",JavaScript,Software Engineering,Delhi,7.3,6 Months,B.E. Information Technology
Medical e-Commerce Solutions Pvt Ltd,"PowerBI, Cybersecurity","DevOps, OpenCV","Ethical Hacking, Linux",DevOps,New Delhi,9,2 Months,B.Tech Cybersecurity
Medicom Solutions (P) Ltd,"Scikit-learn, Cybersecurity","TensorFlow, Computer Vision","Azure, NLP",Web Development,Bangalore,7.4,6 Months,B.E. Information Technology
Meesho,"React, Azure","Digital Forensics, C++",Digital Forensics,Cybersecurity & Forensics,Bangalore,8.2,2 Months,B.E. Information Technology
Megasoft Limited,"Pandas, Python","SQL, Deep Learning",GCP,Cloud Computing,Chennai,7.2,9 Months,B.E. Information Technology
Melstar Information Technologies Ltd,"OpenCV, Pandas","Librosa, GCP","Linux, Node.js",Cybersecurity & Forensics,Mumbai,7.2,6 Months,B.Tech CS / IT
Mentorix Learning Technologies Pvt. Ltd.,"PyTorch, PowerBI","SQL, NLP","Azure, Data Analysis",Database Administration,Mumbai,9.2,12 Months,Mechanical Engineering
Meru Convergent Technologies Pvt Ltd,"Node.js, PowerBI","Computer Vision, Bash","AWS, JavaScript",Data Science & AI,Chennai,7.9,6 Months,B.E. Information Technology
Meta,"PyTorch, Pandas","NLP, PowerBI",Azure,Mobile App Development,Noida,7.1,2 Months,BCA / MCA
Micro Informations Pvt Ltd,Web Development,"Computer Vision, TensorFlow","Librosa, Java",Cloud Computing,Gujarat,6.8,3 Months,BCA / MCA
Micro Technologies (India) Ltd,"SQL, Kubernetes","Data Analysis, Bash","Pandas, DevOps",Database Administration,Mumbai,7.2,6 Months,Mechanical Engineering
Microsoft,"PowerBI, TensorFlow","C++, JavaScript",SQL,Cybersecurity & Forensics,Bangalore,6.4,12 Months,B.Tech Cybersecurity
Microsoft Corporation (I) Ltd.,"NLP, Linux","Data Analysis, Ethical Hacking","React, Network Security",Cybersecurity & Forensics,New Delhi,6.9,3 Months,B.Sc Statistics / Math
Microsoft India,"Node.js, JavaScript","Machine Learning, GCP","PowerBI, TensorFlow",Database Administration,Pune,8.4,9 Months,B.Sc Information Security
Microsoft India (R&D) Pvt. Ltd.,"Linux, DevOps","Deep Learning, Machine Learning","C++, React",DevOps,Hyderabad,7.5,4 Months,M.Sc Cyber Forensics
Milcom Software,"Linux, Computer Vision","Python, Java",Java,Software Engineering,Chennai,7.4,12 Months,B.Tech CS / M.Tech
Millenium Information Systems Limited,"Scikit-learn, Cybersecurity","Network Security, AWS","Scikit-learn, Mobile Forensics",Mobile App Development,Kolkata,9.3,6 Months,BCA / MCA
Mindmill Software Ltd,"Java, Data Analysis","PyTorch, Data Analysis","OpenCV, Scikit-learn",Database Administration,New Delhi,6.9,6 Months,B.Tech Cybersecurity
Mindteck (India) Ltd,"NLP, SQL","DevOps, OpenCV","Ethical Hacking, TensorFlow",Cybersecurity & Forensics,Bangalore,7.3,6 Months,B.Tech Computer Science
MindTree Consulting Pvt.,"Scikit-learn, Cybersecurity","Data Analysis, NoSQL","C++, Kubernetes",Cloud Computing,Bangalore,6.4,9 Months,Mechanical Engineering
Mindtree Limited,"Network Security, Mobile Forensics","Digital Forensics, JavaScript","NoSQL, PyTorch",Data Science & AI,Seattle,7.4,12 Months,BCA / MCA
Minerva Telelink Pvt.Ltd.,"Python, Deep Learning","Librosa, Digital Forensics","Pandas, AWS",Web Development,New Delhi,8,3 Months,Mechanical Engineering
"Mizoram Information Technology Society, Aizawl","Pandas, AWS","Librosa, Digital Forensics","Azure, React",Mobile App Development,Delhi,7.1,4 Months,BCA / MCA
ML Infomap Pvt. Ltd.,"Network Security, TensorFlow","Network Security, DevOps","Data Analysis, Librosa",Database Administration,New Delhi,7.3,6 Months,B.Sc / M.Sc Data Science
Momentum India Private Limited,"Ethical Hacking, Data Analysis","Scikit-learn, AWS","C++, OpenCV",Cybersecurity & Forensics,Noida,8.2,6 Months,B.E. Cloud Computing
Motech Software Pvt Ltd,"NLP, Linux","Docker, PowerBI","Digital Forensics, Node.js",Web Development,Mumbai,7.2,12 Months,B.E. Cloud Computing
Motorola India Electronics Private Ltd.,"AWS, Azure","TensorFlow, Pandas","PyTorch, C++",Cloud Computing,Bangalore,7.8,4 Months,B.Tech Computer Science
Mphasis BFL Ltd.,"Python, GCP","C++, Docker","Pandas, Cybersecurity",Cloud Computing,Mumbai,8.4,4 Months,B.E. Information Technology
Mphasis Limited,"C++, NoSQL","SQL, Machine Learning","DevOps, Librosa",Cloud Computing,Bhubaneswar,6.4,2 Months,B.Sc / M.Sc Data Science
MTC (India) Pvt. Ltd.,"DevOps, Docker","Scikit-learn, Network Security",JavaScript,Mobile App Development,Noida,6.5,2 Months,BCA / MCA
Mukesh & Associates,"Network Security, TensorFlow","Node.js, NoSQL","Computer Vision, Bash",Cloud Computing,Tamil Nadu,9.2,4 Months,Mechanical Engineering
Myntra,"React, Linux","Docker, Cybersecurity","NoSQL, JavaScript",Software Engineering,Mumbai,6.4,3 Months,B.Tech Computer Science
N Y Dox Services Ltd,"Kubernetes, PowerBI","Pandas, Scikit-learn","TensorFlow, Network Security",Software Engineering,New Delhi,6.7,3 Months,Mechanical Engineering
National Institute of Fashion Technology,"Kubernetes, Network Security","Deep Learning, Azure","Kubernetes, Docker",Mobile App Development,New Delhi,8.2,2 Months,B.Sc Information Security
NatureSoft Private Limited,"AWS, JavaScript","SQL, Azure","DevOps, Linux",Software Engineering,Chennai,6.5,2 Months,B.Sc Statistics / Math
Navayuga Infotech Pvt. Ltd.,"Librosa, Node.js","Machine Learning, Docker","React, Bash",DevOps,Hyderabad,6.5,6 Months,B.Tech CS / IT
Navision Software India Pvt Ltd,"Linux, PowerBI","Linux, OpenCV",Cybersecurity,Mobile App Development,Gurgaon,8.4,3 Months,M.Sc Cyber Forensics
Neco Infotech,Web Development,"Incident Response, GCP","Data Analysis, JavaScript",Mobile App Development,Nagpur,7,9 Months,B.E. Information Technology
NeilSoft Limited,"Bash, Computer Vision","Java, Scikit-learn","DevOps, Node.js",Web Development,Pune,6.9,3 Months,B.Tech CS / IT
Nelco Limited,"Librosa, Kubernetes","C++, JavaScript","Azure, Data Analysis",Software Engineering,Mumbai,7.5,2 Months,Mechanical Engineering
Nelito Systems Limited,"PowerBI, Linux","Scikit-learn, AWS","Scikit-learn, Mobile Forensics",Cybersecurity & Forensics,Mumbai,7.3,4 Months,B.E. Cloud Computing
Neptune Information,"Computer Vision, AWS","AWS, PyTorch","NLP, TensorFlow",Data Science & AI,Mumbai,6.3,2 Months,B.E. Cloud Computing
Net Brahma Technologies Pvt Ltd,"JavaScript, TensorFlow","Docker, Cybersecurity",Kubernetes,Web Development,Bangalore,7,6 Months,B.E. Cloud Computing
Net Edge Computing Solutions Pvt Ltd,"Cybersecurity, Network Security","Node.js, Network Security",Librosa,Database Administration,New Delhi,8,4 Months,B.E. Information Technology
Net Solutions,"Linux, Data Analysis","DevOps, Cybersecurity",GCP,Software Engineering,Chandigarh,6.3,4 Months,B.Tech CS / IT
Net4India Ltd,"Scikit-learn, Cybersecurity","Ethical Hacking, TensorFlow","Cybersecurity, JavaScript",Database Administration,New Delhi,8.6,12 Months,B.Tech CS / M.Tech
Netaquila Solutions Pvt Ltd,"Linux, DevOps","PowerBI, Cybersecurity",Azure,Cybersecurity & Forensics,New Delhi,8.4,3 Months,B.Tech Computer Science
NetBusiness Solutions (India) Ltd.,"SQL, Ethical Hacking","C++, Bash","SQL, NoSQL",Cybersecurity & Forensics,Mumbai,8.3,12 Months,B.Tech CS / IT
Netdecisions Pvt Ltd,"JavaScript, Mobile Forensics","Docker, Azure","GCP, Bash",Web Development,Visakhapatnam,7.6,6 Months,Mechanical Engineering
Netflix,"Deep Learning, DevOps","DevOps, JavaScript",Librosa,Mobile App Development,Kolkata,6.4,6 Months,B.E. Information Technology
Netkraft Private Limited,Web Development,"Scikit-learn, Java","Librosa, Mobile Forensics",Web Development,Bangalore,7.7,6 Months,B.Tech Cybersecurity
NetraScribe Pvt. Ltd.,Web Development,"PowerBI, OpenCV","Deep Learning, Librosa",Web Development,Chennai,7.8,12 Months,Mechanical Engineering
Network Associates Software Pte Ltd,"TensorFlow, OpenCV","Digital Forensics, C++","Linux, Machine Learning",Software Engineering,Mumbai,8.5,12 Months,BCA / MCA
"Network Programs (India) Ltd., Noida (UP)","Deep Learning, Java","Cybersecurity, NoSQL","PowerBI, GCP",Database Administration,Chennai,7.2,6 Months,B.E. Cloud Computing
"Network Systems & Technologies (P) Ltd., Trivandrum","Scikit-learn, Cybersecurity","Node.js, TensorFlow","Digital Forensics, Bash",DevOps,Mumbai,7.7,9 Months,BCA / MCA
Neural Consulting,"PyTorch, React","Python, Scikit-learn","PowerBI, Cybersecurity",Data Science & AI,San Francisco,8.7,3 Months,B.Sc Statistics / Math
Neural Corp,"TensorFlow, OpenCV","Librosa, Pandas","Bash, C++",Software Engineering,Mumbai,7.9,12 Months,B.E. Information Technology
Neural Data,"DevOps, PowerBI","Digital Forensics, Node.js","Incident Response, C++",Mobile App Development,Pune,7.8,12 Months,B.E. Information Technology
Neural Defense,"Network Security, Computer Vision","React, Cybersecurity","Azure, Data Analysis",Database Administration,Bangalore,7,12 Months,B.E. Cloud Computing
Neural Dynamics,"OpenCV, Machine Learning","Machine Learning, NLP","Linux, Computer Vision",Web Development,Bangalore,9.3,6 Months,BCA / MCA
Neural Labs,"AWS, Mobile Forensics","Azure, JavaScript","Kubernetes, Ethical Hacking",Cloud Computing,Chennai,8.8,9 Months,Mechanical Engineering
Neural Networks,"SQL, Librosa","Bash, SQL",PowerBI,Database Administration,Bangalore,7.6,2 Months,B.E. Cloud Computing
Neural Security,"Ethical Hacking, JavaScript","TensorFlow, Azure","NoSQL, Python",Web Development,San Francisco,6.3,3 Months,B.Tech Computer Science
Neural Solutions,"Computer Vision, SQL","PyTorch, NoSQL","Node.js, TensorFlow",Cybersecurity & Forensics,Bangalore,8.9,3 Months,M.Sc Cyber Forensics
Neural Tech,"NLP, Scikit-learn","Mobile Forensics, NoSQL","Pandas, Docker",Cloud Computing,Remote,7.4,12 Months,B.Tech CS / IT
Neural Technologies,"Incident Response, Pandas","Bash, JavaScript","Digital Forensics, Deep Learning",Cloud Computing,Noida,9.3,6 Months,B.E. Cloud Computing
Newgen Imaging Systems (P) Ltd.,"Data Analysis, Linux","PowerBI, Scikit-learn","Network Security, Kubernetes",Data Science & AI,Chennai,7,2 Months,B.Tech Computer Science
Newgen Software Technologies,"TensorFlow, Network Security","Node.js, Kubernetes",Machine Learning,Cybersecurity & Forensics,Delhi,9.1,3 Months,B.Sc / M.Sc Data Science
Newgen Software Technologies Ltd.,"Scikit-learn, Librosa","Digital Forensics, Python","Kubernetes, Computer Vision",Web Development,New Delhi,7.8,4 Months,Mechanical Engineering
NexGenix (India) Pvt Ltd,"DevOps, Computer Vision","PowerBI, Cybersecurity","Machine Learning, JavaScript",Cloud Computing,Mumbai,7.7,2 Months,B.Tech Cybersecurity
Next Cloud Limited,"Librosa, Kubernetes","Java, Data Analysis","GCP, OpenCV",Cybersecurity & Forensics,Noida,9.5,3 Months,B.Tech Cybersecurity
Next Com Ventures,"Bash, Pandas","Python, Docker","Data Analysis, Network Security",Cybersecurity & Forensics,Delhi,8.7,9 Months,B.Tech Cybersecurity
Next Services Ventures,"Kubernetes, JavaScript","Data Analysis, Network Security","Node.js, SQL",Mobile App Development,Remote,6.6,9 Months,B.E. Information Technology
Next Sys Pvt Ltd,"Ethical Hacking, Librosa","NLP, Ethical Hacking","NoSQL, Python",Mobile App Development,Indore,6.4,12 Months,B.Tech Computer Science
Next Web Analytics,"Ethical Hacking, Node.js","Digital Forensics, DevOps","Kubernetes, DevOps",Cybersecurity & Forensics,Remote,8.7,4 Months,B.Sc Information Security
Next Web Solutions,"Docker, Network Security","Java, Deep Learning","OpenCV, Ethical Hacking",Software Engineering,Bhubaneswar,7.6,12 Months,B.E. Information Technology
NextBrick Solutions Limited,"Deep Learning, Linux","Digital Forensics, C++","DevOps, Linux",Cloud Computing,New Delhi,6,6 Months,B.E. Cloud Computing
NextGen Analytics,"Machine Learning, Data Analysis","Digital Forensics, Ethical Hacking","AWS, NLP",Database Administration,Hyderabad,6.8,9 Months,B.Tech CS / IT
NextGen Consulting,"Scikit-learn, C++","Ethical Hacking, PowerBI",Librosa,Web Development,Bangalore,7.1,4 Months,B.Tech Computer Science
NextGen Corp,"TensorFlow, Java","AWS, Scikit-learn","DevOps, Deep Learning",Cloud Computing,Remote,8.7,9 Months,B.E. Cloud Computing
NextGen Data,"Azure, PyTorch","Network Security, Pandas",Cybersecurity,Software Engineering,Singapore,6.3,6 Months,BCA / MCA
NextGen Defense,"GCP, DevOps","PyTorch, Data Analysis","Data Analysis, Python",Cloud Computing,Noida,7.2,3 Months,Mechanical Engineering
NextGen Dynamics,"PowerBI, Pandas","Network Security, Deep Learning","Kubernetes, OpenCV",DevOps,Kolkata,8.3,2 Months,B.Tech CS / IT
NextGen Innovations,"Cybersecurity, Network Security","Linux, TensorFlow","AWS, Linux",DevOps,Pune,7.7,3 Months,Mechanical Engineering
NextGen Networks,"Deep Learning, Machine Learning","AWS, Machine Learning","Kubernetes, PyTorch",Software Engineering,London,9,2 Months,B.E. Information Technology
NextGen Software,"DevOps, AWS","Deep Learning, NLP","Data Analysis, Digital Forensics",Mobile App Development,Gurgaon,8.2,2 Months,B.E. Information Technology
NextGen Solutions,"Mobile Forensics, SQL","TensorFlow, Ethical Hacking","SQL, Java",Cybersecurity & Forensics,Pune,7,4 Months,B.Sc Information Security
NextGen Systems,"Node.js, Python","Data Analysis, Node.js",OpenCV,DevOps,Hyderabad,9.4,3 Months,B.E. Cloud Computing
NextStep Infotech Pvt Ltd,"Ethical Hacking, Deep Learning","Kubernetes, Mobile Forensics","JavaScript, Linux",Web Development,Pune,7.6,12 Months,M.Sc Cyber Forensics
Nexus AI Networks,"AWS, C++","Mobile Forensics, NoSQL","Kubernetes, Digital Forensics",Software Engineering,Chennai,6.5,12 Months,B.Tech Computer Science
Nexus Analytics,"Python, Pandas","React, Ethical Hacking","Librosa, SQL",Cybersecurity & Forensics,Singapore,8.9,2 Months,M.Sc Cyber Forensics
Nexus App Enterprises,"Machine Learning, Linux","Data Analysis, C++","Pandas, NLP",Cybersecurity & Forensics,Kolkata,6.9,4 Months,B.Sc Information Security
Nexus Consulting,"Network Security, Linux","Cybersecurity, NLP","Bash, GCP",Software Engineering,Pune,9,12 Months,B.E. Information Technology
Nexus Corp,"Node.js, JavaScript","NLP, OpenCV","Network Security, Mobile Forensics",Cloud Computing,San Francisco,7.8,6 Months,Mechanical Engineering
Nexus Data,"Java, Ethical Hacking","Kubernetes, Ethical Hacking","Network Security, Data Analysis",Software Engineering,Gurgaon,8.7,3 Months,B.Tech Computer Science
Nexus Data Enterprises,"Deep Learning, Librosa","DevOps, Computer Vision","TensorFlow, React",DevOps,Chennai,8.8,4 Months,B.Tech CS / IT
Nexus Defense,"Java, Data Analysis","TensorFlow, Linux","Librosa, AWS",Mobile App Development,Singapore,6.6,3 Months,B.E. Information Technology
Nexus Dynamics,"Scikit-learn, Bash","Python, GCP","Cybersecurity, NLP",Software Engineering,Kolkata,8.8,3 Months,B.Tech Computer Science
Nexus Group,"NoSQL, Librosa","SQL, PowerBI","AWS, Azure",Cloud Computing,Mumbai,7.8,3 Months,B.Tech CS / IT
Nexus Hub Limited,"DevOps, Computer Vision","Ethical Hacking, Node.js","Digital Forensics, AWS",Web Development,Hyderabad,7.7,12 Months,B.E. Information Technology
Nexus Info Innovations,"C++, Docker","OpenCV, React","Bash, AWS",Cybersecurity & Forensics,Kolkata,8,4 Months,BCA / MCA
Nexus Info Limited,"PyTorch, Linux","SQL, TensorFlow","C++, JavaScript",DevOps,Kochi,8.4,4 Months,B.E. Cloud Computing
Nexus Link Innovations,"TensorFlow, Digital Forensics","Network Security, SQL","React, GCP",Cybersecurity & Forensics,Remote,7.6,4 Months,M.Sc Cyber Forensics
Nexus Net Networks,"Scikit-learn, Network Security","Cybersecurity, Node.js","NLP, Mobile Forensics",Data Science & AI,Remote,8.5,12 Months,B.Sc / M.Sc Data Science
Nexus Net Systems,"Azure, SQL","Incident Response, Scikit-learn","NLP, TensorFlow",Web Development,Remote,7.3,9 Months,B.E. Information Technology
Nexus Security,"Data Analysis, PowerBI","Node.js, Azure","NoSQL, Mobile Forensics",Web Development,Gurgaon,6.2,12 Months,BCA / MCA
Nexus Services Innovations,"Deep Learning, Java","Docker, JavaScript","C++, Kubernetes",Cloud Computing,Thiruvananthapuram,7.8,3 Months,B.E. Cloud Computing
Nexus Services Limited,"NLP, Cybersecurity","SQL, Azure","Deep Learning, PowerBI",Software Engineering,Delhi,7.2,4 Months,B.Tech Computer Science
Nexus Software,"Java, PowerBI","TensorFlow, Computer Vision","Node.js, OpenCV",Mobile App Development,Gurgaon,6.7,4 Months,B.Tech Computer Science
Nexus Solutions,"Computer Vision, Machine Learning","PowerBI, Linux","Digital Forensics, Node.js",Database Administration,Noida,8,12 Months,B.E. Cloud Computing
Nexus Solutions Ventures,"AWS, Node.js","Scikit-learn, React","Machine Learning, Data Analysis",Data Science & AI,Remote,8.9,6 Months,B.Tech CS / M.Tech
Nexus Systems,"SQL, PyTorch","C++, React","Incident Response, Node.js",Software Engineering,Noida,7.2,3 Months,B.E. Information Technology
Nexus Technologies,"Data Analysis, Ethical Hacking","PyTorch, Java","Python, SQL",Web Development,London,7.3,2 Months,BCA / MCA
Nihilent Technologies Pvt Ltd,"Pandas, Python","Kubernetes, Bash","TensorFlow, Python",Database Administration,Pune,7.6,12 Months,B.Tech Computer Science
NIIT Ltd.,Web Development,"DevOps, OpenCV","Data Analysis, Network Security",Web Development,New Delhi,9.3,6 Months,B.E. Information Technology
Nilgiri App Labs,"Machine Learning, Mobile Forensics","Cybersecurity, Java","Bash, Kubernetes",Web Development,Remote,6.3,3 Months,B.E. Information Technology
Nilgiri Com Group,"NLP, Incident Response","Machine Learning, DevOps","Digital Forensics, Node.js",Web Development,Remote,7.9,3 Months,B.Tech Computer Science
Nilgiri Labs Enterprises,"React, Librosa","Digital Forensics, AWS","Deep Learning, PyTorch",Cybersecurity & Forensics,Pune,6.5,6 Months,M.Sc Cyber Forensics
Nilgiri Space Technologies,"Computer Vision, Network Security","Java, Machine Learning","NoSQL, Azure",Web Development,Remote,6.3,9 Months,B.E. Information Technology
Nilgiri Web Pvt Ltd,"Machine Learning, PyTorch","PowerBI, Mobile Forensics","Librosa, React",Cloud Computing,Mumbai,7.5,4 Months,B.E. Cloud Computing
Nilgiri Works Technologies,"NLP, Data Analysis","Deep Learning, PowerBI","Bash, Scikit-learn",Mobile App Development,Hyderabad,8.4,3 Months,B.Tech Computer Science
Nirman Consulting Solutions,"C++, OpenCV","Scikit-learn, AWS","SQL, AWS",Data Science & AI,Pune,8.4,2 Months,B.Sc / M.Sc Data Science
Nirman Hub Innovations,"Deep Learning, Node.js","Network Security, Bash","NLP, Java",Web Development,Kolkata,6.2,4 Months,BCA / MCA
Nirman Info Group,"NoSQL, DevOps","Node.js, Docker","C++, NLP",Cloud Computing,Ahmedabad,6.1,4 Months,Mechanical Engineering
Nirman Services Enterprises,"JavaScript, Deep Learning","Machine Learning, Bash","Scikit-learn, Ethical Hacking",Cybersecurity & Forensics,Bangalore,9.1,6 Months,BCA / MCA
Nirman Space Enterprises,"GCP, NLP","PyTorch, Incident Response","Pandas, PyTorch",Cloud Computing,Chennai,8.9,4 Months,Mechanical Engineering
Nirman Tech Analytics,"Digital Forensics, Data Analysis","PowerBI, Data Analysis","PyTorch, SQL",Cloud Computing,Gurgaon,6.1,12 Months,Mechanical Engineering
Nirman Tech Group,"Pandas, GCP","Bash, Computer Vision","NoSQL, DevOps",Software Engineering,Ahmedabad,8.3,4 Months,BCA / MCA
